sample	A10-10	A10-11	A10-12	A10-13	A10-14	A10-15	A10-9	A2	A26-10	A26-11	A26-12	A26-13	A26-14	A26-15	A26-9	A4-10	A4-11	A4-12	A4-13	A4-14	A4-15	A4-9	A6-10	A6-11	A6-12	A6-13	A6-14	A6-15	A6-9	A8-10	A8-11	A8-12	A8-13	A8-14	A8-15	A8-9	B10-1	B10-2	B10-3	B10-4	B10-5	B10-6	B10-7	B2	B26-1	B26-2	B26-3	B26-4	B26-5	B26-6	B26-7	B4-1	B4-2	B4-3	B4-4	B4-5	B4-6	B4-7	B6-1	B6-2	B6-3	B6-4	B6-5	B6-6	B6-7	B8-1	B8-2	B8-3	B8-4	B8-5	B8-6	B8-7	FSC237ClpB
A4-14	0.681914965373231	0.664750735238393	1.09841638735041	1.09557390896278	1.08525054710881	0.502523422339695	0.604590018111438	1.00212951757736	0.551608158025241	1.04428549736172	1.36269538415596	1.48593791593053	1.17016469780967	0.860197122757339	0.477287565310473	0.0802864870323771	0.0768284452530432	0.0774013565772576	0.0733909394952803	0	0.0760510354959079	0.0796674965089264	0.921680861253028	0.0741277276058021	0.0747099725605624	0.0753497179822192	0.0752268569062936	0.0759551183265474	0.0765620663253021	0.510454669877721	0.0987411768210189	0.576343820995673	0.0966865037117367	0.411034511933003	0.0963689784111032	0.0905677094774957	0.532708869834167	0.518658963096173	1.12104031595655	0.638931929081636	1.13431379256358	1.16984913129855	0.549454274712641	0.978900464807371	0.58869617800695	1.20346659280595	1.14028859943436	1.52648798226515	0.895740185544899	0.703272123718822	0.598388494207559	0.0739484955898354	0.0800995006226634	0.0814711605416283	0.0747985293973081	0.0728678255473553	0.0763051112311619	0.0741111327669453	0.0807629865718186	0.0760805494196774	0.0755995370356191	0.0747600160513614	0.0745920237022685	0.0837612082052288	0.0764850312152645	0.0941320880465322	0.0864906931409368	0.087518112411088	0.114502401721536	0.0912829666476729	0.0904739188937898	0.0955874991826854	0.508380379243731
A4-15	0.686351717416067	0.669605839281576	1.10081606092934	1.09713997739574	1.08733429542158	0.507021449250422	0.608778999309263	1.00209096892436	0.555374846387544	1.04683788620778	1.36567063013012	1.48790452314655	1.17228955467494	0.864332013753978	0.481470019835089	0.0825399297310085	0.078795621705776	0.0774929029008441	0.0742680954380803	0.0760510354959076	0	0.0821965327735884	0.922550275052834	0.076335312929206	0.0760240751341298	0.0756995376471995	0.0768456895342855	0.0766198407724768	0.0785390985433358	0.511728199340228	0.103230131260207	0.577136188433884	0.10040876455768	0.411508165168086	0.0996918251412808	0.0931729037864549	0.537511730104558	0.523313901974711	1.1228294750317	0.642849974721935	1.13671769582424	1.17207948109331	0.555083273032068	0.978805343262951	0.5938698426423	1.20575047169801	1.14299480751225	1.52934321197041	0.899077482756636	0.707220163739679	0.603041499401151	0.0741223313178949	0.0817334081021941	0.0824860594282427	0.0758292819430579	0.073324893453723	0.0766878738784678	0.0744579075719952	0.0820039023461663	0.0782799463464291	0.076576562994168	0.0753527703538485	0.0754186316502747	0.0860397582516332	0.0776946587610745	0.0959742152872324	0.0902865438479051	0.090400774332966	0.117695709352551	0.0932776500561626	0.0927476684343058	0.0988687513828306	0.513329923148845
A4-9	0.681637623668158	0.663132724271681	1.09779237107932	1.09541804805288	1.0850992120539	0.501363959614172	0.603410407599992	1.00264552061032	0.551321856994615	1.04325831412934	1.36233031970957	1.48581615282645	1.16946381303569	0.86057968834966	0.47666932982939	0.0837535073892418	0.0807008054482707	0.0820817884795373	0.0781533108703641	0.079667496508926	0.0821965327735882	0	0.923558855731557	0.0800164358116488	0.0804253069624218	0.0804675711078676	0.0798237433349238	0.0824357325435983	0.0816056370601917	0.512412509605262	0.102103330014254	0.576851341334951	0.100783183120994	0.411710699399469	0.0996991975895484	0.093461649889139	0.531297835493423	0.517996225854972	1.12050565371175	0.638165025679075	1.13378617472608	1.16904102579849	0.548554473138261	0.979399484378068	0.588036869592366	1.20282196105657	1.14003564856542	1.52557729073293	0.895988733188098	0.701881906021221	0.597181345991308	0.0787443331294375	0.0826313499829199	0.0863041134593215	0.0811128226607839	0.0779242580972048	0.081476131474192	0.0794536972078689	0.0855097070513018	0.0802582083029508	0.0801358845961018	0.0787409042366155	0.0790841324160532	0.0877674768920663	0.0812447536767744	0.097880948095123	0.091109768960302	0.0916064954028914	0.117707136572089	0.0944233551617398	0.0934024624943047	0.0992191513771407	0.50750578321828
A6-10	0.869362749374507	1.13574961589251	1.43152155764417	1.42728733617305	1.42092545195023	1.04879242941584	1.10122530846325	1.36000013235285	1.07303677010621	1.39161135738394	1.64540666705832	1.74752715000367	1.48886105799029	1.26092167877311	1.03712471284797	0.92278033680831	0.922317949516361	0.92224209402958	0.9221528289823	0.921680861252993	0.922550275052837	0.923558855731492	0	0.922578056318305	0.922563358257883	0.922565623682166	0.921806991728777	0.922692045050822	0.92245202585287	0.42339593762813	0.924952069028473	1.0852733342343	0.924185701036354	1.00733120670407	0.924072448458486	0.922136811975348	1.06102014589733	1.05383318888711	1.45042972253053	1.11825422869756	1.45919546668703	1.48863194913987	1.07246336534167	1.34300409902574	1.09125853948548	1.51445771482732	1.46536665036433	1.78310595590951	1.2850277856918	1.1586460244613	1.09807162790047	0.922605273126084	0.922983315125502	0.922429888934686	0.922586196515028	0.922135581137653	0.922264094497914	0.92220901643829	0.922967415459538	0.922882506064588	0.922659449634624	0.922643988762767	0.92269267906496	0.922758175255067	0.922744032763186	0.923985530189764	0.923101364964891	0.92344339837375	0.92627794424787	0.92368263489147	0.924012110310279	0.924545531599207	1.05198926800609
A6-11	0.684004064315394	0.666252309564464	1.09836589531901	1.09539164229055	1.085622508057	0.503710541878965	0.605137612448598	1.00208244670779	0.552847863340351	1.04583074156386	1.36319010779861	1.48527271233265	1.17032600586332	0.861846024531068	0.47850001044932	0.0802534734450794	0.0764920257281753	0.077396059331207	0.0727254425906084	0.0741277276058019	0.0763353129292059	0.0800164358116488	0.922578056318332	0	0.0744096767900519	0.0748506512997714	0.0751055257620903	0.0763688418139215	0.0775005161273138	0.511244628333621	0.0990643225384383	0.575835410512337	0.0967778900369278	0.411144147471423	0.096322271567897	0.0898202093072604	0.533870770879993	0.519580561607145	1.12121600505878	0.639328108251138	1.13485749766214	1.17011060588304	0.551139546757438	0.978817122858025	0.5904183347424	1.20391924147759	1.14082991282662	1.52730725788885	0.896895612655128	0.704345909337152	0.59991261863707	0.0735865476836624	0.0794287731241018	0.0819113545242652	0.0745624570410605	0.0727158854721565	0.0756785967100341	0.0731398660102671	0.0808915323133379	0.0766793974937203	0.0755714893329485	0.07386419971813	0.0744036961447468	0.0829752975288415	0.0759070484210788	0.0942133217756392	0.0876558041432495	0.0881317196019672	0.114972257523284	0.0919359559693601	0.08965483812935	0.0960089058369066	0.50928554858743
A6-12	0.683948068204002	0.666825464420775	1.09901565048001	1.0952361343564	1.08609315898774	0.504276739499256	0.606377910217702	1.00204849683025	0.553364599518245	1.04522258873409	1.36424038570921	1.48554557991331	1.17074735105401	0.86314939031433	0.479696383142504	0.0811231163109513	0.0778429829849796	0.0767582568848444	0.0732843093711054	0.0747099725605623	0.0760240751341298	0.0804253069624219	0.92256335825788	0.074409676790052	0	0.0742311255471721	0.0755572630526018	0.0763096324195038	0.0771007782061898	0.511372515882491	0.100786110154127	0.576201162789513	0.0979245628021881	0.411076209479466	0.0969343076521405	0.0900529288807432	0.534399139220858	0.52018312160238	1.12169449940702	0.640738503603452	1.13530554477637	1.17047696688144	0.551738035665471	0.978817684760612	0.590789446418934	1.20425840250336	1.1413026285784	1.5279530882851	0.897252461685122	0.704479396433976	0.600632058751433	0.0732387875377518	0.0800359294317258	0.0805730103694769	0.0749546529576389	0.0727021320182549	0.0756431755018262	0.0733356666295451	0.0816600269409685	0.07622643898281	0.0750981357957709	0.0741018218399506	0.074157737290183	0.0837366108700349	0.0761765055643806	0.094290773673782	0.0878812835591269	0.0882633559298523	0.115835400461173	0.092163007763421	0.0899425928022977	0.0966464174193754	0.510475787868532
A6-13	0.686935717516545	0.670182348320201	1.10028418147312	1.09753127973647	1.08761520309344	0.507422437422707	0.609921642508269	1.00195198986777	0.556253521337157	1.04792739252298	1.36558970045911	1.48817919283935	1.1729547135333	0.865475331826391	0.482587774399644	0.0828115933912642	0.0783312836611264	0.0766372624772032	0.0728096834219174	0.0753497179822188	0.0756995376471997	0.0804675711078675	0.92256562368222	0.0748506512997714	0.0742311255471718	0	0.0756293593784848	0.0747810136331393	0.0777557071860328	0.511634449582872	0.102445107252615	0.57640102359374	0.100634685869235	0.411807782830777	0.0995404440416046	0.0929015069845491	0.53828230511507	0.524467043769192	1.12346781440324	0.643906864383331	1.13698773959968	1.17252760735088	0.556047767732228	0.978730136452336	0.594820317406854	1.2063669590966	1.14255040589025	1.53015010374799	0.899917718460973	0.707323645865156	0.604373104960824	0.0728481983305001	0.0806438466344465	0.0815848637922483	0.075579759195171	0.0718401002226456	0.076391818933705	0.0731157985663821	0.0811506007371459	0.0772292043206452	0.0753269540071813	0.0742344933302557	0.0737438132998269	0.0847059620097643	0.0768000000000005	0.0968627379336363	0.0904170337934157	0.0909693354927902	0.117569298713569	0.0937249166444029	0.0928763156030642	0.099257594167903	0.51360653227933
A6-14	0.682045203780494	0.66461152562981	1.09881603555825	1.09586657490772	1.08490355792577	0.503178030124526	0.604914927903078	1.00218133588685	0.551760491517822	1.04480280436071	1.36343702824883	1.48603984805252	1.16929341912113	0.861466499638839	0.477895323266507	0.0808467686429092	0.0782987228503749	0.0791203513642335	0.0732982264451188	0.0752268569062938	0.0768456895342857	0.0798237433349238	0.921806991728835	0.0751055257620903	0.0755572630526019	0.0756293593784849	0	0.0764248650636673	0.0785142662195867	0.51052951922485	0.0992712445776708	0.576616146149167	0.0969960823951137	0.410355297272985	0.096446150778555	0.0905233119146674	0.533069413866521	0.5185805241233	1.12117972243525	0.639460155130854	1.13457102906781	1.16977734206129	0.550494232485677	0.978933337873436	0.589364496725065	1.20361473902573	1.14062809451634	1.52711959584047	0.896219013411351	0.702850923027054	0.598540249273168	0.0739827006806323	0.0803291354366531	0.0816222396164172	0.0755114560844914	0.0726733788948868	0.0761734205612435	0.0740576802229165	0.0807857660729894	0.0773336278730031	0.0759855907392976	0.0750098660177437	0.075710435212062	0.0847125728566883	0.0777456108085858	0.0945392511076764	0.0874020594723011	0.087859205550698	0.115063547659545	0.0918355051164872	0.0893251924151301	0.0957648682973042	0.508888661693299
A6-15	0.685702180250271	0.669087378449171	1.09982015802583	1.09649990880072	1.08729978846682	0.506474708154316	0.607920628042829	1.00209767488004	0.554585106182981	1.04711562876312	1.3643286884032	1.48747105854198	1.17239570964755	0.863762218437462	0.480718836743475	0.0829507082549621	0.0796460294051105	0.0784380647390007	0.0747377414697541	0.0759551183265471	0.076619840772477	0.0824357325435983	0.922692045050877	0.0763688418139215	0.0763096324195036	0.0747810136331392	0.0764248650636674	0	0.0792894066064298	0.511719092862449	0.10143263774545	0.576449859051015	0.100524225935839	0.411718799667931	0.0993763553366682	0.0930041396928113	0.536871623388678	0.522350878241817	1.12263769311385	0.642633635907718	1.13634595964433	1.17172481837673	0.554144060691797	0.97881129948525	0.593272610188597	1.20520563390651	1.14227048898235	1.52831699591413	0.8988694899706	0.705999405098888	0.602789556976553	0.0748152390893715	0.0820895243012152	0.0820385884812721	0.0760003947358154	0.0738296688330635	0.0774743183254926	0.0743174272966966	0.0824996969691377	0.0790718028123793	0.0769401715620634	0.0757928756546408	0.0757112277010474	0.0855650629638022	0.0785303762884132	0.0966183729939601	0.0892909849872854	0.0901683980117199	0.117003589688523	0.09365735422272	0.0928114755835722	0.0987053696614322	0.512334939273127
A6-9	0.681198040220296	0.664253919822821	1.09834832817278	1.09505865596323	1.08443015450511	0.502961151581313	0.603562821916647	1.00235615426847	0.550598392660196	1.04367367026289	1.36278187542981	1.48538906687776	1.16941084739282	0.861324770339277	0.47656115032596	0.0821928829035706	0.0793957177686546	0.079527102298523	0.0761614075500178	0.0765620663253022	0.0785390985433358	0.0816056370601917	0.922452025852899	0.0775005161273138	0.0771007782061898	0.0777557071860328	0.0785142662195863	0.0792894066064298	0	0.511147473827249	0.100601242537057	0.576926017787281	0.0984415054740615	0.410862483076765	0.097889172026327	0.0914448467656883	0.532672723161225	0.518102161740325	1.12020158900083	0.638123013219219	1.13414210308937	1.16930066278951	0.549011866902705	0.979115238365773	0.588068091295547	1.20338354235047	1.13939238192994	1.52634066643065	0.895599045332239	0.702043766441935	0.597360075666248	0.0766077672302228	0.080991604503184	0.084705135617622	0.0773112540319979	0.0761944223680431	0.0795346465384743	0.0767473126565336	0.0845046152585746	0.0780097429812459	0.0783164095193345	0.0762587044211988	0.0763375399132024	0.0857150511870563	0.0780122426289623	0.0950916400110982	0.0888865006623596	0.0904794451795532	0.115873681222271	0.0934726163108764	0.0924726986737164	0.0970654418420895	0.507537308973438
A8-10	0.62030354666082	0.815753535082744	1.19722265681867	1.19344603564632	1.18650072903471	0.696822976085029	0.768550505822485	1.12311081376669	0.733035722185489	1.14647727844907	1.44175346020045	1.55974284418941	1.26368035119642	0.98473716290186	0.678870952390803	0.511137016855555	0.511172534473438	0.511404008588119	0.510944967682428	0.510454669877744	0.511728199340233	0.512412509605295	0.423395937628126	0.511244628333635	0.511372515882499	0.511634449582899	0.510529519224888	0.511719092862477	0.511147473827267	0	0.512026161440993	0.763360681460609	0.511210670858891	0.649682753349665	0.510978013225616	0.508944397748905	0.714232168135824	0.703987151871394	1.21899605413632	0.796437756513335	1.22960332221408	1.26156845236393	0.726533282100691	1.10234581234751	0.754396102853135	1.29278681537209	1.23377898344879	1.59756482497583	1.01279327110718	0.847170272141315	0.763873091553824	0.511441384715781	0.511607017152811	0.511791578672409	0.511518963480335	0.511054781799366	0.511158038183883	0.511489501358531	0.511827265784069	0.511249997555008	0.511510156301903	0.51132317569224	0.511433651610841	0.511529715656867	0.511460291713831	0.510701674169956	0.509488753555954	0.510188700384471	0.514904971815186	0.510302586707136	0.510652347492884	0.511436408559263	0.699089808250698
A8-11	0.653704902842236	0.632452448805431	1.0858252621854	1.08271806579548	1.07173513985496	0.475086697351127	0.572487964938992	1.0052583200351	0.526200722158375	1.02433204577422	1.34928997254111	1.47277189340371	1.15459715052479	0.841584357031435	0.447901038176963	0.0991856844509317	0.101150432525025	0.103865538076879	0.0993657385621407	0.0987411768210186	0.103230131260207	0.102103330014254	0.924952069028485	0.0990643225384383	0.100786110154127	0.102445107252615	0.0992712445776707	0.101432637745449	0.100601242537057	0.51202616144098	0	0.576305960406433	0.0965471905339543	0.410618375136825	0.0953105450619171	0.0930481058377858	0.501824750286393	0.486462372645616	1.10668020222643	0.614199975577987	1.11986327736914	1.15306765196147	0.514708325170673	0.982000580447941	0.555615703521772	1.18749175155027	1.12314540910781	1.51473043806479	0.872615447949443	0.672987355007492	0.566414203564837	0.101430074435542	0.100383913053834	0.105481135754218	0.101537776221462	0.099624093471407	0.100504278515891	0.103298693118547	0.102474874969427	0.0986155667224993	0.100989949995036	0.100253977477204	0.099890189708498	0.102010195568873	0.10103444957043	0.0939823919678566	0.0888856568856851	0.091054818653379	0.114916056319384	0.0923215034539611	0.0922164302063342	0.0957406392291166	0.477379482173251
